regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
4 niche ecology,weak 4 niche ecology,50,colless_like_index,178.0,9.178144213292979e-06,7,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,25.0,3.366814035344517e-09,7,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
4 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,4 niche ecology,50,colless_like_index,103.0,2.473756574659273e-07,7,np.random.exponential
8 niche ecology,4 niche ecology,50,mean_pairwise_distance,2.0,8.53422673646545e-10,7,np.random.exponential
8 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,plain,50,colless_like_index,100.0,2.118385561420393e-07,7,np.random.exponential
8 niche ecology,plain,50,mean_pairwise_distance,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
8 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
weak 4 niche ecology,plain,50,colless_like_index,43.0,9.530799618618074e-09,7,np.random.exponential
weak 4 niche ecology,plain,50,mean_pairwise_distance,0.0,7.556929455863566e-10,7,np.random.exponential
weak 4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
weak 4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
4 niche ecology,8 niche ecology,50,colless_like_index,62.0,2.7687864179239132e-08,7,np.random.standard_normal
4 niche ecology,8 niche ecology,50,mean_pairwise_distance,5.0,1.0235189212610724e-09,7,np.random.standard_normal
4 niche ecology,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.standard_normal
4 niche ecology,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.standard_normal
4 niche ecology,plain,50,colless_like_index,600.0,0.7173535621498253,7,np.random.standard_normal
4 niche ecology,plain,50,mean_pairwise_distance,216.0,4.7244338450388704e-05,7,np.random.standard_normal
4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.standard_normal
4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.standard_normal
plain,8 niche ecology,50,colless_like_index,33.0,5.365943352795552e-09,7,np.random.standard_normal
