id,ancestor_list,ancestor_listr_,taxon_label,trait,origin_time,island,niche,ancestor_id,identification
273494,[270270],[270270],13458,298265.47,262137,0,0,270270,273494
273516,[272100],[272100],11734,298265.62,262137,0,0,272100,273516
273524,[272140],[272140],23859,298264.66,262137,0,0,272140,273524
273543,[273090],[273090],14752,298265.9,262137,0,0,273090,273543
273574,[272294],[272294],5340,298265.22,262137,0,0,272294,273574
273595,[269805],[269805],18756,298266.88,262137,0,0,269805,273595
273633,[271648],[271648],8151,298264.88,262137,0,0,271648,273633
273708,[271843],[271843],27287,298265.22,262137,0,0,271843,273708
273835,[272749],[272749],16342,298265.38,262137,0,0,272749,273835
273847,[267692],[267692],4691,298263.7,262137,0,0,267692,273847
273914,[268125],[268125],10257,298265.78,262137,0,0,268125,273914
274004,[271658],[271658],23830,298266.16,262137,0,0,271658,274004
274026,[271267],[271267],30976,298266.2,262137,0,0,271267,274026
274216,[272206],[272206],16756,298265.34,262137,0,0,272206,274216
274238,[272538],[272538],24064,298266.88,262137,0,0,272538,274238
274243,[271988],[271988],10095,298264.75,262137,0,0,271988,274243
274263,[272378],[272378],28579,298266.03,262137,0,0,272378,274263
274289,[272312],[272312],26928,298267.8,262137,0,0,272312,274289
274295,[263931],[263931],30895,298262.34,262137,0,0,263931,274295
274318,[272035],[272035],29369,298268.03,262137,0,0,272035,274318
274337,[271201],[271201],28208,298264.22,262137,0,0,271201,274337
274367,[271763],[271763],26459,298265.38,262137,0,0,271763,274367
274370,[273113],[273113],25639,298263.78,262137,0,0,273113,274370
274426,[270308],[270308],18392,298265.6,262137,0,0,270308,274426
274478,[272421],[272421],3029,298264.28,262137,0,0,272421,274478
