id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
25204223,[25202029],99967,99981,0,1,1,1,5960,xwtjagcvvlnvofvyhytwybvpvavxllwmamyvzvdtiamxcatatctcpcfalzphmvydviokypzoclcweinlmicznbedcnvzkoqnvzalqzvvvvfcjvvgaxx
13969537,[13965637],56510,56551,0,1,1,3600,3481,xwzjagcyhaoybjcbojsablkabkaxsvtbnbaqpaarxdommfvcvdcdmdbzcickavvqbvvsakqpvjtpsmqcvayqbvdvvyxwfysobazvvvvfcajvvgabnd
25150955,[25146961],99765,99778,0,1,1,28,5969,xwtjagcvsinanvybyxaybvxvkvkulqcusevbvmpmasxicjatbjomciilzipavokvwfkunsscldsiokltabpsbvlcbvzptudvjalczvvvvfcjvvgaiy
14600735,[14595934],58968,59003,0,1,1,3600,3612,xwojagcyhaoybjcxnhjaxlkabjaqpvhbpyaqezauymymcqvqvdnpfmbzcnckyvvobvvslkzpvktpycqqvaybcvdvvydxyxsopazvvvvfcajvvgabnh
13852291,[13846389],56056,56098,0,1,1,3600,3455,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvayqfvdvvyxwfysobazvvvvfcajvvgabnd
13854060,[13852291],56062,56089,0,1,1,3600,3456,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvayqfvdvvyxwfysobazvvvvfcajvvgabnd
14045216,[14039794],56804,56833,0,1,1,3600,3497,xwzjagcyhaoybjcbojsablkabkaxpvtbnbaqpaahxkommjvcvdcptdbzcickavvqbvvsakqpvjtpsmqcvayqbvdvvycwfysobazvvvvfcajvvgabnd
25191633,[25187280],99919,99950,0,1,1,10,5970,xwjjagcvajnbauyyaybmbutbbnwojfmuxvvnfvyozwcrbjzmcwduvuvjisvyvtsbibuprlpavfcsmlfctmvlbtbwwvoeodmywyzvvvvfcjvvgaoxxwjjagc
13840211,[13834549],56009,56041,0,1,1,3600,3453,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
13834549,[13833131],55987,56012,0,1,1,3600,3452,xwzjagcyhaoybjcbojsamxkabkaxsvtbnbaspabrxdcmmfvcvdcdmdbscickavvqbvvsakqpvjtpsxqbvaydfvdvvyxwfysobazvvvvfcajvvgabnd
